2026-05-08 15:48:36.762 | INFO     | intelligence.behavioral_baseline:_load:253 - Loaded 662 baselines from data/baseline.json
2026-05-08 15:48:37.012 | INFO     | run:initialize:152 - Council system initialized
2026-05-08 15:48:56.706 | WARNING  | tools.system_probe:warn_if_not_admin:54 - Not running as root. Limited process visibility on Linux.
2026-05-08 15:48:57.278 | INFO     | core.council_graph:entry_node:90 - Council scan started: 69ab1623-2899-47a7-a286-51cfb83bac4e
2026-05-08 15:48:57.481 | INFO     | agents.resource_warden:analyze_with_validation:132 - Resource Warden: no suspicious candidates after pre-filter
2026-05-08 15:48:57.482 | DEBUG    | core.council_graph:cyber_analyst_node:126 - Cyber Analyst not configured, skipping
2026-05-08 15:48:57.482 | DEBUG    | core.council_graph:traffic_observer_node:147 - Traffic Observer not configured, skipping
2026-05-08 15:48:57.483 | INFO     | core.council_graph:cross_reference_node:189 - Cross-reference: 0 multi-agent PIDs, 0 multi-agent files
2026-05-08 15:48:57.545 | INFO     | intelligence.behavioral_baseline:save:225 - Saved 667 baselines to data/baseline.json
2026-05-08 15:55:34.068 | WARNING  | tools.system_probe:warn_if_not_admin:54 - Not running as root. Limited process visibility on Linux.
2026-05-08 15:55:34.628 | INFO     | core.council_graph:entry_node:90 - Council scan started: efd00c18-29ed-4ca8-9b31-fe4df314d5a9
2026-05-08 15:55:34.807 | INFO     | agents.resource_warden:analyze_with_validation:132 - Resource Warden: no suspicious candidates after pre-filter
2026-05-08 15:55:34.808 | DEBUG    | core.council_graph:cyber_analyst_node:126 - Cyber Analyst not configured, skipping
2026-05-08 15:55:34.808 | DEBUG    | core.council_graph:traffic_observer_node:147 - Traffic Observer not configured, skipping
2026-05-08 15:55:34.808 | INFO     | core.council_graph:cross_reference_node:189 - Cross-reference: 0 multi-agent PIDs, 0 multi-agent files
2026-05-08 15:55:34.823 | INFO     | intelligence.behavioral_baseline:save:225 - Saved 667 baselines to data/baseline.json
2026-05-08 15:56:36.065 | WARNING  | tools.system_probe:warn_if_not_admin:54 - Not running as root. Limited process visibility on Linux.
2026-05-08 15:56:36.630 | INFO     | core.council_graph:entry_node:90 - Council scan started: aef22b25-6e86-483d-aa47-ac5f00039b8d
2026-05-08 15:56:36.814 | INFO     | agents.resource_warden:analyze_with_validation:132 - Resource Warden: no suspicious candidates after pre-filter
2026-05-08 15:56:36.814 | DEBUG    | core.council_graph:cyber_analyst_node:126 - Cyber Analyst not configured, skipping
2026-05-08 15:56:36.814 | DEBUG    | core.council_graph:traffic_observer_node:147 - Traffic Observer not configured, skipping
2026-05-08 15:56:36.815 | INFO     | core.council_graph:cross_reference_node:189 - Cross-reference: 0 multi-agent PIDs, 0 multi-agent files
2026-05-08 15:56:36.831 | INFO     | intelligence.behavioral_baseline:save:225 - Saved 667 baselines to data/baseline.json
2026-05-08 16:02:31.860 | WARNING  | tools.system_probe:warn_if_not_admin:54 - Not running as root. Limited process visibility on Linux.
2026-05-08 16:02:32.420 | INFO     | core.council_graph:entry_node:90 - Council scan started: 0a2e93b5-c622-49d5-8d74-cee57a401b99
2026-05-08 16:02:32.597 | INFO     | agents.resource_warden:analyze_with_validation:132 - Resource Warden: no suspicious candidates after pre-filter
